"stateName","employment","Employment percent relative standard error","Hourly mean wage","annualmeanwage","Wage percent relative standard error","Hourly 10th percentile wage","Hourly 25th percentile wage","Hourly median wage","Hourly 75th percentile wage","Hourly 90th percentile wage","Annual 10th percentile wage","Annual 25th percentile wage","annualmedianwage","Annual 75th percentile wage","Annual 90th percentile wage","employmentperonekjobs","Location Quotient","area_code"
"Alabama","1120","17.2","47.61","99040","2.6","26.29","35.79","48.35","56.79","69.83","54690","74450","100560","118130","145250","0.547","0.43","0100000"
"Alaska","200","11.1","44.09","91710","2.0","24.58","30.85","38.46","53.12","68.71","51130","64160","80000","110480","142920","0.638","0.50","0200000"
"Arizona","3800","11.1","54.07","112470","2.9","31.40","38.47","51.15","64.62","81.82","65310","80020","106400","134410","170190","1.216","0.96","0400000"
"Arkansas","330","3.9","56.37","117250","2.2","39.84","48.80","55.72","61.77","76.78","82870","101510","115890","128490","159700","0.263","0.21","0500000"
"California","33220","1.9","67.54","140490","0.8","32.72","45.31","64.27","83.29","102.44","68050","94240","133690","173250","213080","1.851","1.46","0600000"
"Colorado","5910","6.6","57.85","120320","4.3","31.45","40.54","53.83","65.63","83.99","65420","84320","111970","136520","174700","2.088","1.65","0800000"
"Connecticut","1190","6.2","57.93","120480","2.2","26.34","36.54","54.21","74.49","94.25","54780","76000","112750","154940","196040","0.714","0.56","0900000"
"Delaware","530","21.6","62.75","130520","5.5","30.97","48.88","66.72","77.27","86.82","64420","101680","138780","160720","180590","1.136","0.90","1000000"
"District of Columbia","3100","19.8","61.93","128810","11.4","29.46","42.23","58.66","82.12","99.19","61280","87840","122010","170800","206320","4.419","3.48","1100000"
"Florida","8400","5.0","51.20","106490","2.4","25.09","33.04","45.84","61.58","82.90","52180","68730","95360","128090","172440","0.878","0.69","1200000"
"Georgia","6510","4.4","51.93","108010","1.4","29.02","36.51","48.54","64.39","79.23","60350","75930","100950","133930","164790","1.368","1.08","1300000"
"Hawaii","150","12.4","60.61","126080","4.9","31.07","45.03","62.47","75.66","96.58","64620","93660","129930","157370","200880","0.239","0.19","1500000"
"Idaho","710","11.6","60.67","126190","2.0","35.47","40.28","58.79","76.74","98.87","73770","83790","122280","159610","205640","0.867","0.68","1600000"
"Illinois","6320","3.5","55.69","115840","0.9","29.96","39.42","52.20","66.13","82.00","62320","82000","108580","137540","170570","1.052","0.83","1700000"
"Indiana","2440","6.0","44.48","92520","3.1","25.24","31.25","39.24","52.51","61.70","52500","65000","81620","109220","128340","0.772","0.61","1800000"
"Iowa","2270","2.6","47.38","98550","0.9","26.91","34.20","46.62","57.72","67.56","55970","71140","96980","120060","140520","1.472","1.16","1900000"
"Kansas","NA",,"51.44","107000","9.0","34.24","40.00","48.85","61.06","68.67","71230","83210","101610","127000","142830",,,"2000000"
"Kentucky","2080","10.0","46.29","96290","3.1","25.16","31.53","42.69","58.51","73.60","52330","65570","88800","121700","153090","1.058","0.83","2100000"
"Louisiana","920","4.8","35.74","74330","1.7","26.27","31.22","33.04","38.21","47.57","54640","64950","68730","79480","98940","0.497","0.39","2200000"
"Maine","710","8.7","51.62","107370","3.4","31.43","38.49","48.06","66.30","70.33","65370","80050","99960","137900","146280","1.150","0.91","2300000"
"Maryland","2170","7.6","60.59","126020","1.9","36.62","44.91","60.32","75.60","84.13","76170","93410","125460","157260","174990","0.810","0.64","2400000"
"Massachusetts","7400","9.9","60.15","125100","3.0","36.32","43.09","58.44","70.67","89.08","75540","89640","121560","146990","185280","2.031","1.60","2500000"
"Michigan","4700","5.1","46.39","96500","1.2","27.79","34.88","43.63","55.43","66.76","57790","72550","90750","115280","138860","1.081","0.85","2600000"
"Minnesota","2240","4.9","57.10","118760","1.3","33.26","43.24","55.11","69.06","79.73","69170","89940","114630","143640","165830","0.776","0.61","2700000"
"Mississippi","290","13.4","34.72","72220","4.7","16.67","23.21","30.10","39.60","52.04","34670","48280","62600","82370","108230","0.253","0.20","2800000"
"Missouri","3850","5.7","42.41","88210","1.5","24.37","29.95","39.14","51.16","65.24","50690","62290","81410","106410","135710","1.339","1.06","2900000"
"Montana","90","16.5","48.73","101350","7.9","25.39","32.94","45.40","50.95","70.78","52800","68520","94420","105970","147210","0.182","0.14","3000000"
"Nebraska","1780","5.9","45.66","94960","0.9","30.26","38.22","44.54","51.66","62.31","62940","79500","92640","107450","129610","1.775","1.40","3100000"
